College,Email,Domain
Inter American University Of Puerto Rico Aguadilla,gcortes@aguadilla.inter.edu,inter
Inter American University Of Puerto Rico Fajardo,ada.caraballo@fajardo.inter.edu,inter
Inter American University Of Puerto Rico Guayama,laura.ferrer@guayama.inter.edu,inter
Inter American University Of Puerto Rico Ponce,admisiones@ponce.inter.edu,inter
Inter American University Of Puerto Rico San German,milcama@intersg.edu,intersg
Iona College,admissions@iona.edu,iona
Iowa State University,admissions@iastate.edu,iastate
Iowa Wesleyan University,admit@iw.edu,iw
IPFW,ask@ipfw.edu,ipfw
Ithaca College,admission@ithaca.edu,ithaca
IUPUI,apply@iupui.edu,iupui
Jackson State University,admappl@jsums.edu,jsums
Jacksonville State University,info@jsu.edu,jsu
Jacksonville University,admissions@ju.edu,ju
Jacksonville University,admiss@ju.edu,ju
Jacobs University Bremen,admission@jacobs-university.de,jacobs-university
James Madison University,admissions@jmu.edu,jmu
Jarvis Christian College,recruitment@jarvis.edu,jarvis
Jefferson College Health Sciences,admissions@jchs.edu,jchs
Jefferson Philadelphia University Thomas Jefferson University,admissions@philau.edu,philau
John Brown University,jbuinfo@jbu.edu,jbu
John Cabot University Rome,admissions@johncabot.edu,johncabot
John Carroll University,enrollment@jcu.edu,jcu
John Paul The Great Catholic University,mharold@jpcatholic.com,jpcatholic
John Wesley University,admissions@johnwesley.edu,johnwesley
Johns Hopkins University,gotojhu@jhu.edu,jhu
Johnson C Smith University,admissions@jcsu.edu,jcsu
Johnson University,admissions@johnsonu.edu,johnsonu
Johnson University Florida,admissionsfl@johnsonu.edu,johnsonu
Johnson Wales University,mia@admissions.jwu.edu,jwu
Johnson Wales University,pvd@admissions.jwu.edu,jwu
Johnson Wales University,den@admissions.jwu.edu,jwu
Johnson Wales University,clt@admissions.jwu.edu,jwu
Judson College,admissions@judson.edu,judson
Judson University,admissions@judsonu.edu,judsonu
Juilliard School,admissions@juilliard.edu,juilliard
Juniata College,applications@juniata.edu,juniata
Juniata College,admissions@juniata.edu,juniata
Kalamazoo College,admission.records@kzoo.edu,kzoo
Kalamazoo College,admission@kzoo.edu,kzoo
Kansas City Art Institute,admiss@kcai.edu,kcai
Kansas State University,k-state@k-state.edu,k-state
Kean University,admitme@kean.edu,kean
Keene State College,kscadmissions@keene.edu,keene
Kendall College,info@kendall.edu,kendall
Kennesaw State University,ksuadmit@kennesaw.edu,kennesaw
Kent State University,admissions@kent.edu,kent
Kentucky Christian University,knights@kcu.edu,kcu
Kentucky Mountain Bible College,kmbc@kmbc.edu,kmbc
Kentucky State University,admissions@kysu.edu,kysu
Kentucky Wesleyan College,admissions@kwc.edu,kwc
Kenyon College,admissions@kenyon.edu,kenyon
Kettering University,admissions@kettering.edu,kettering
Keuka College,admissions@keuka.edu,keuka
Keystone College,admissions@keystone.edu,keystone
King University,admission@king.edu,king
Kings College,admissions@kings.edu,kings
Knox College,admission@knox.edu,knox
Kutztown University Of Pennsylvania,admissions@kutztown.edu,kutztown
Kuyper College,admissions@kuyper.edu,kuyper
La Roche College,admissions@laroche.edu,laroche
La Salle University,admiss@lasalle.edu,lasalle
La Sierra University,admissions@lasierra.edu,lasierra
Lafayette College,admissions@lafayette.edu,lafayette
Lagrange College,admission@lagrange.edu,lagrange
Laguna College Of Art And Design,admissions@lcad.edu,lcad
Lake Erie College,admissions@lec.edu,lec
Lake Forest College,admissions@lakeforest.edu,lakeforest
Lake Superior State University,admissions@lssu.edu,lssu
Lakeland University,admissions@lakeland.edu,lakeland
Lamar University,admissions@lamar.edu,lamar
Lander University,admissions@lander.edu,lander
Lane College,admissions@lanecollege.edu,lanecollege
Langston University,admissions@langston.edu,langston
Lasell College,info@lasell.edu,lasell
Lawrence Technological University,admissions@ltu.edu,ltu
Lawrence University,admissions@lawrence.edu,lawrence
Le Moyne College,admission@lemoyne.edu,lemoyne
Leavell College Of New Orleans Baptist Theological Seminary,leavelladmissions@nobts.edu,nobts
Lebanon Valley College,admission@lvc.edu,lvc
Lee University,admissions@leeuniversity.edu,leeuniversity
Lees Mcrae College,admissions@lmc.edu,lmc
Lehigh University,admissions@lehigh.edu,lehigh
Lemoyne Owen College,admission@loc.edu,loc
Lenoir Rhyne University,admission@lr.edu,lr
Lesley University,admissions@lesley.edu,lesley
Letourneau University,admissions@letu.edu,letu
Lewis Clark College,admissions@lclark.edu,lclark
Lewis Clark State College,admissions@lcsc.edu,lcsc
Lewis University,admissions@lewisu.edu,lewisu
Liberty University,admissions@liberty.edu,liberty
Life Pacific College,info@lifepacific.edu,lifepacific
Life University,admission@life.edu,life
Lim College,admissions@limcollege.edu,limcollege
Limestone College,admiss@limestone.edu,limestone
Lincoln Christian University,enroll@lincolnchristian.edu,lincolnchristian
Lincoln Memorial University,admissions@lmunet.edu,lmunet
Lincoln University,admissions@lincolnuca.edu,lincolnuca
Lincoln University,admissions@lincoln.edu,lincoln
Lincoln University,admissions@lincolnu.edu,lincolnu
Lindenwood University,Admissions@lindenwood.edu,lindenwood
Lindsey Wilson College,admissions@lindsey.edu,lindsey
Linfield College,admission@linfield.edu,linfield
Lipscomb University,admissions@lipscomb.edu,lipscomb
List College Jewish Theological Seminary,lcadmissions@jtsa.edu,jtsa
Livingstone College,admissions@livingstone.edu,livingstone
Lock Haven University Of Pennsylvania,admissions@lockhaven.edu,lockhaven
Long Island University Brooklyn Campus,bkln-admissions@liu.edu,liu
Long Island University Post Campus,post-enroll@liu.edu,liu
Longwood University,admissions@longwood.edu,longwood
Loras College,admissions@loras.edu,loras
Louisiana College,admissions@lacollege.edu,lacollege
Louisiana State University Am Baton Rouge,admissions@lsu.edu,lsu
Louisiana State University Shreveport,admissions@lsus.edu,lsus
Louisiana Tech University,bulldog@latech.edu,latech
Lourdes University,luadmits@lourdes.edu,lourdes
Loyola Marymount University,admissions@lmu.edu,lmu
Loyola Marymount University,admission@lmu.edu,lmu
Loyola University Chicago,admission@luc.edu,luc
Loyola University Maryland,admission@loyola.edu,loyola
Loyola University Maryland,admissions@loyola.edu,loyola
Loyola University New Orleans,admit@loyno.edu,loyno
Lubbock Christian University,admissions@lcu.edu,lcu
Luther College,admissions@luther.edu,luther
Luther Rice College Seminary,admissions@lutherrice.edu,lutherrice
Lycoming College,admissions@lycoming.edu,lycoming
Lyme Academy College Of Fine Arts,admissions@lymefs.newhaven.edu,newhaven
Lynn University,admission@lynn.edu,lynn
Lyon College,admissions@lyon.edu,lyon
Macalester College,admissions@macalester.edu,macalester
Macmurray College,admissions@mac.edu,mac
Madonna University,admissions@madonna.edu,madonna
Maharishi University Of Management,admissions@mum.edu,mum
Maine College Art,admissions@meca.edu,meca
Maine Maritime Academy,admissions@mma.edu,mma
Malone University,admissions@malone.edu,malone
Manchester University,admitinfo@manchester.edu,manchester
Manhattan Christian College,admit@mccks.edu,mccks
Manhattan College,admit@manhattan.edu,manhattan
Manhattan School Of Music,admission@msmnyc.edu,msmnyc
Manhattanville College,admissions@mville.edu,mville
Mansfield University Of Pennsylvania,admissions@mansfield.edu,mansfield
Maranatha Baptist University,admissions@mbu.edu,mbu
Marian University Indiana,admissions@marian.edu,marian
Marian University Wisconsin,admissions@marianuniversity.edu,marianuniversity
Marietta College,wardens@marietta.edu,marietta
Marist College,admission@marist.edu,marist
Marlboro College,admissions@marlboro.edu,marlboro
Marquette University,admissions@mu.edu,mu
Marquette University,admissions@marquette.edu,marquette
Mars Hill University,admissions@mhu.edu,mhu
Marshall University,admissions@marshall.edu,marshall
Martin Luther College,bauermd@mlc-wels.edu,mlc-wels
Martin Methodist College,admit@martinmethodist.edu,martinmethodist
Martin University,admissions@martin.edu,martin
Mary Baldwin University,admit@marybaldwin.edu,marybaldwin
Mary Immaculate College,international@mic.ul.ie,ul
Marygrove College,info@marygrove.edu,marygrove
Maryland Institute College Art,admissions@mica.edu,mica
Marylhurst University,admissions@marylhurst.edu,marylhurst
Marymount California University,admission@marymountcalifornia.edu,marymountcalifornia
Marymount Manhattan College,admissions@mmm.edu,mmm
Marymount University,admissions@marymount.edu,marymount
Maryville College,admissions@maryvillecollege.edu,maryvillecollege
Maryville University St Louis,admissions@maryville.edu,maryville
Marywood University,yourfuture@marywood.edu,marywood
Massachusetts College Art And Design,admissions@massart.edu,massart
Massachusetts College Liberal Arts,admissions@mcla.edu,mcla
Massachusetts College Pharmacy And Health Sciences Mcphs University,admissions@mcphs.edu,mcphs
Massachusetts Institute Of Technology,admissions@mit.edu,mit
Massachusetts Maritime Academy,admissions@maritime.edu,maritime
Maynooth University Ireland,deirdre.a.dunne@mu.ie,mu
Mayville State University,masu.admissions@mayvillestate.edu,mayvillestate
Mcdaniel College,admissions@mcdaniel.edu,mcdaniel
Mckendree University,inquiry@mckendree.edu,mckendree
Mcmurry University,admissions@mcm.edu,mcm
Mcneese State University,admissions@mcneese.edu,mcneese
Mcpherson College,admissions@mcpherson.edu,mcpherson
Medaille College,admissionsug@medaille.edu,medaille
Medical University Of South Carolina,oesadmis@musc.edu,musc
Memphis College Of Art,info@mca.edu,mca
Menlo College,admissions@menlo.edu,menlo
Mercer University,admissions@mercer.edu,mercer
Mercy College,admissions@mercy.edu,mercy
Mercy College Of Health Sciences,admissions@mchs.edu,mchs
Mercyhurst University,admissions@mercyhurst.edu,mercyhurst
Meredith College,admissions@meredith.edu,meredith
Merrimack College,admission@merrimack.edu,merrimack
Messiah College,admissions@messiah.edu,messiah
Methodist University,admissions@methodist.edu,methodist
Metropolitan College Of New York,admissions@mcny.edu,mcny
Metropolitan State University,admission.metro@metrostate.edu,metrostate
Metropolitan State University Of Denver,askmetro@msudenver.edu,msudenver
Miami University Ohio,admission@miamioh.edu,miamioh
Michigan State University,admis@msu.edu,msu
Michigan Technological University,mtu4u@mtu.edu,mtu
Mid America Christian University,admissions@macu.edu,macu
Mid Atlantic Christian University,admissions@macuniversity.edu,macuniversity
Midamerica Nazarene University,admissions@mnu.edu,mnu
Middle Georgia State University,admissions@mga.edu,mga
Middle Tennessee State University,admissions@mtsu.edu,mtsu
Middlebury College,admissions@middlebury.edu,middlebury
Midland University,admissions@midlandu.edu,midlandu
Midway University,admissions@midway.edu,midway
Midwestern State University,admissions@mwsu.edu,mwsu
Miles College,admissions@miles.edu,miles
Millersville University,admissions@millersville.edu,millersville
Milligan College,admissions@milligan.edu,milligan
Millikin University,admis@millikin.edu,millikin
Mills College,admission@mills.edu,mills
Millsaps College,admissions@millsaps.edu,millsaps
Milwaukee Institute Of Art And Design,admissions@miad.edu,miad
Milwaukee School Engineering,explore@msoe.edu,msoe
Minerva Schools Kgi,admissions@minerva.kgi.edu,kgi
Minneapolis College Of Art And Design,admissions@mcad.edu,mcad
Minnesota State University Mankato,admissions@mnsu.edu,mnsu
Minnesota State University Moorhead,admissions@mnstate.edu,mnstate
Minot State University,askmsu@minotstateu.edu,minotstateu
Misericordia University,admiss@misericordia.edu,misericordia
Mississippi College,admissions@mc.edu,mc
Mississippi State University,admit@msstate.edu,msstate
Mississippi University For Women,admissions@muw.edu,muw
Mississippi Valley State University,admsn@mvsu.edu,mvsu
Missouri Baptist University,admissions@mobap.edu,mobap
Missouri Southern State University,admissions@mssu.edu,mssu
Missouri State University,info@missouristate.edu,missouristate
Missouri University Science And Technology,admissions@mst.edu,mst
Missouri Valley College,admissions@moval.edu,moval
Missouri Western State University,admissions@missouriwestern.edu,missouriwestern
Mitchell College,admissions@mitchell.edu,mitchell
Molloy College,admissions@molloy.edu,molloy
Monash University,scenquiries@monash.edu,monash
Monmouth College Il,admissions@monmouthcollege.edu,monmouthcollege
Monmouth University,admission@monmouth.edu,monmouth
Montana State University Billings,admissions@msubillings.edu,msubillings
Montana State University Bozeman,admissions@montana.edu,montana
Montana State University Northern,admissions@msun.edu,msun
Montana Tech,enrollment@mtech.edu,mtech
Montclair State University,msuadm@montclair.edu,montclair
Montreat College,admissions@montreat.edu,montreat
Montserrat College Art,admissions@montserrat.edu,montserrat
Moravian College,admissions@moravian.edu,moravian
Morehead State University,admissions@moreheadstate.edu,moreheadstate
Morehouse College,admissions@morehouse.edu,morehouse
Morgan State University,admissions@morgan.edu,morgan
Morningside College,admissions@morningside.edu,morningside
Morris College,dcalhoun@morris.edu,morris
Mount Aloysius College,admissions@mtaloy.edu,mtaloy
Mount Carmel College Of Nursing,mccnadmissions@mccn.edu,mccn
Mount Holyoke College,admission@mtholyoke.edu,mtholyoke
Mount Marty College,mmcadmit@mtmc.edu,mtmc
Mount Mary University,mmu-admiss@mtmary.edu,mtmary
Mount Mercy University,admission@mtmercy.edu,mtmercy
Mount Saint Mary College,admissions@msmc.edu,msmc
Mount Saint Marys University,admissions@msmu.edu,msmu
Mount St Joseph University,admission@msj.edu,msj
Mount St Marys University,admissions@msmary.edu,msmary
Mount Vernon Nazarene University,admissions@mvnu.edu,mvnu
Muhlenberg College,admissions@muhlenberg.edu,muhlenberg
Multnomah University,admiss@multnomah.edu,multnomah
Murray State University,msu.admissions@murraystate.edu,murraystate
Muskingum University,adminfo@muskingum.edu,muskingum
Naropa University,admissions@naropa.edu,naropa
National Louis University,admissions@nl.edu,nl
Navarra University Of,admision@unav.es,unav
Nazarene Bible College,info@nbc.edu,nbc
Nazareth College,admissions@naz.edu,naz
Nebraska Christian College,admissions@nechristian.edu,nechristian
Nebraska Methodist College,admissions@methodistcollege.edu,methodistcollege
Nebraska Wesleyan University,admissions@nebrwesleyan.edu,nebrwesleyan
Neumann University,neumann@neumann.edu,neumann
Neumont College Of Computer Science,admissions@neumont.edu,neumont
Nevada State College,admissions@nsc.edu,nsc
New College Florida,admissions@ncf.edu,ncf
New England College,admission@nec.edu,nec
New England Conservatory Of Music,admission@necmusic.edu,necmusic
New England Institute Technology,admissions@neit.edu,neit
New Hampshire Institute Art,admissions@nhia.edu,nhia
New Hope Christian College,admissions@newhope.edu,newhope
New Jersey City University,admissions@njcu.edu,njcu
New Jersey Institute Technology,admissions@njit.edu,njit
New Mexico Highlands University,admission@nmhu.edu,nmhu
New Mexico Institute Of Mining And Technology,admission@nmt.edu,nmt
New Mexico State University,admissions@nmsu.edu,nmsu
New School,admission@newschool.edu,newschool
New School Of Architecture And Design,bcharbonneau@newschoolarch.edu,newschoolarch
New York Institute Technology Nyit,admissions@nyit.edu,nyit
New York School Of Interior Design,admissions@nysid.edu,nysid
New York University,admissions@nyu.edu,nyu
Newberry College,admission@newberry.edu,newberry
Newberry College,admissions@newberry.edu,newberry
Newbury College,admissions@newbury.edu,newbury
Newman University,admissions@newmanu.edu,newmanu
Niagara University,admissions@niagara.edu,niagara
Nicholls State University,nicholls@nicholls.edu,nicholls
Nichols College,admissions@nichols.edu,nichols
Norfolk State University,admissions@nsu.edu,nsu
North Carolina Central University,admissions@nccu.edu,nccu
North Carolina State University,undergrad-admissions@ncsu.edu,ncsu
North Carolina State University,uadmit@ncat.edu,ncat
North Carolina Wesleyan College,adm@ncwc.edu,ncwc
North Central College,admissions@noctrl.edu,noctrl
North Central University,admissions@northcentral.edu,northcentral
North Dakota State University,ndsu.admission@ndsu.edu,ndsu
North Greenville University,admissions@ngu.edu,ngu
North Park University,admissions@northpark.edu,northpark
Northeastern Illinois University,admrec@neiu.edu,neiu
Northeastern State University,nsuinfo@nsuok.edu,nsuok
Northern Arizona University,admissions@nau.edu,nau
Northern Illinois University,admissions@niu.edu,niu
Northern Kentucky University,beanorse@nku.edu,nku
Northern Michigan University,admissions@nmu.edu,nmu
Northern State University,admissions@northern.edu,northern
Northern Vermont University,Admissions@NorthernVermont.edu,NorthernVermont
Northern Vermont University Johnson Campus,jscadmissions@jsc.edu,jsc
Northland College,admit@northland.edu,northland
Northwest Christian University,admissions@nwcu.edu,nwcu
Northwest Missouri State University,admissions@nwmissouri.edu,nwmissouri
Northwest Nazarene University,admissions@nnu.edu,nnu
Northwest University,admissions@northwestu.edu,northwestu
Northwestern College,admissions@nwciowa.edu,nwciowa
Northwestern Oklahoma State University,recruit@nwosu.edu,nwosu
Northwestern State University Of Louisiana,applications@nsula.edu,nsula
Northwestern University,ug-admission@northwestern.edu,northwestern
Northwestern University Qatar,admissions@qatar.northwestern.edu,northwestern
Northwood University,admit@northwood.edu,northwood
Northwood University Michigan Campus,miadmit@northwood.edu,northwood
Norwich University,nuadm@norwich.edu,norwich
Notre Dame De Namur University,admiss@ndnu.edu,ndnu
Notre Dame Of Maryland University,admiss@ndm.edu,ndm
Nova Scotia College Of Art And Design,admissions@nscad.ca,nscad
Nova Southeastern University,admissions@nova.edu,nova
Nyack College,admissions@nyack.edu,nyack
Oak Hills Christian College,admissions@oakhills.edu,oakhills
Oakland City University,admission@oak.edu,oak
Oakland University,visit@oakland.edu,oakland
Oakwood University,admission@oakwood.edu,oakwood
Oberlin College Arts And Sciences,college.admissions@oberlin.edu,oberlin
Occidental College,admission@oxy.edu,oxy
Oglethorpe University,admission@oglethorpe.edu,oglethorpe
Ohio Dominican University,admissions@ohiodominican.edu,ohiodominican
Ohio Northern University,admissions-ug@onu.edu,onu
Ohio University,admissions@ohio.edu,ohio
Ohio Valley University,admissions@ovu.edu,ovu
Ohio Wesleyan University,owuadmit@owu.edu,owu
Oklahoma Baptist University,admissions@okbu.edu,okbu
Oklahoma Christian University,admissions@oc.edu,oc
Oklahoma City University,admissions@okcu.edu,okcu
Oklahoma City University,uadmissions@okcu.edu,okcu
Oklahoma Panhandle State University,opsu@opsu.edu,opsu
Oklahoma State University,admissions@okstate.edu,okstate
Oklahoma Wesleyan University,admissions@okwu.edu,okwu
Old Dominion University,admissions@odu.edu,odu
Ole Miss University Mississippi,admissions@olemiss.edu,olemiss
Olivet College,admissions@olivetcollege.edu,olivetcollege
Olivet Nazarene University,admissions@olivet.edu,olivet
Oral Roberts University,admissions@oru.edu,oru
Oregon College Of Art And Craft,admissions@ocac.edu,ocac
Oregon Institute Of Technology,oit@oit.edu,oit
Oregon State University,osuadmit@oregonstate.edu,oregonstate
Otis College Art And Design,admissions@otis.edu,otis
Ottawa University,admiss@ottawa.edu,ottawa
Otterbein University,uotterb@otterbein.edu,otterbein
Ouachita Baptist University,admissions@obu.edu,obu
Our Lady Of The Lake University,admission@ollusa.edu,ollusa
Pace University,appprocessing@pace.edu,pace
Pacific Lutheran University,admission@plu.edu,plu
Pacific Northwest College Of Art,admissions@pnca.edu,pnca
Pacific Oaks College,admissions@pacificoaks.edu,pacificoaks
Pacific Union College,admissions@puc.edu,puc
Pacific University Oregon,admissions@pacificu.edu,pacificu
Paier College Of Art,paier.admission@snet.net,snet
Paine College,admissions@paine.edu,paine
Palm Beach Atlantic University,admit@pba.edu,pba
Park University,parkvilleadmissions@park.edu,park
Parsons The New School For Design,thinkparsons@newschool.edu,newschool
Patrick Henry College,admissions@phc.edu,phc
Paul Quinn College,apply@pqc.edu,pqc
Paul Smiths College,admissions@paulsmiths.edu,paulsmiths
Peirce College,admissions@peirce.edu,peirce
Penn State,admissions@psu.edu,psu
Pennsylvania Academy Fine Arts,admissions@pafa.edu,pafa
Pennsylvania College Of Technology,admissions@pct.edu,pct
Pennsylvania State Erie The Behrend College,behrend.admissions@psu.edu,psu
Pepperdine University,admission-seaver@pepperdine.edu,pepperdine
Peru State College,admissions@peru.edu,peru
Pfeiffer University,admissions@pfeiffer.edu,pfeiffer
Philander Smith College,admissions@philander.edu,philander
Piedmont College,ugrad@piedmont.edu,piedmont
Piedmont International University,admissions@piedmontu.edu,piedmontu
Pine Manor College,admissions@pmc.edu,pmc
Pittsburg State University,psuadmit@pittstate.edu,pittstate
Pitzer College,admission@pitzer.edu,pitzer
Plymouth State University,admissions@plymouth.edu,plymouth
Plymouth State University,plymouthadmit@plymouth.edu,plymouth
Point Loma Nazarene University,admissions@pointloma.edu,pointloma
Point Park University,enroll@pointpark.edu,pointpark
Point University,admissions@point.edu,point
Polk State College,studentservices@polk.edu,polk
Polytechnic University Of Puerto Rico,tcardona@pupr.edu,pupr
Pomona College,admissions@pomona.edu,pomona
Pontifical Catholic University Of Puerto Rico Ponce,admisiones@pucpr.edu,pucpr
Pontifical College Josephinum,admissions@pcj.edu,pcj
Portland State University,admissions@pdx.edu,pdx
Potomac University Of The,admissions@potomac.edu,potomac
Prairie View Am University,admissions@pvamu.edu,pvamu
Pratt Institute,admissions@pratt.edu,pratt
Presbyterian College,admissions@presby.edu,presby
Prescott College,admissions@prescott.edu,prescott
Presentation College,admit@presentation.edu,presentation
Princeton University,uaoffice@princeton.edu,princeton
Principia College,collegeadmissions@principia.edu,principia
Providence College,pcadmiss@providence.edu,providence
Purdue University Fort Wayne,ask@pfw.edu,pfw
Purdue University Northwest,admissions@pnw.edu,pnw
Queens University Canada,admission@queensu.ca,queensu
Queens University Charlotte,admissions@queens.edu,queens
Quest University Canada,admissions@questu.ca,questu
Quincy University,admissions@quincy.edu,quincy
Quinnipiac University,admissions@qu.edu,qu
Radford University,admissions@radford.edu,radford
Ramapo College New Jersey,admissions@ramapo.edu,ramapo
Randolph College,admissions@randolphcollege.edu,randolphcollege
Randolph Macon College,admissions@rmc.edu,rmc
Reed College,admission@reed.edu,reed
Regent University,admissions@regent.edu,regent
Regis College,admission@regiscollege.edu,regiscollege
Regis University,ruadmissions@regis.edu,regis
Reinhardt University,admissions@reinhardt.edu,reinhardt
Rensselaer Polytechnic Institute,admissions@rpi.edu,rpi
Research College Of Nursing,leslie.burry@researchcollege.edu,researchcollege
Resurrection University,admissions@resu.edu,resu
Rhode Island College,admissions@ric.edu,ric
Rhode Island School Design,admissions@risd.edu,risd
Rhodes College,dataservices@rhodes.edu,rhodes
Rhodes College,adminfo@rhodes.edu,rhodes
Rice University,admi@rice.edu,rice
Rider University,admissions@rider.edu,rider
Riga Business School,info@rbs.lv,rbs
Ringling College Art And Design,admissions@ringling.edu,ringling
Ripon College,adminfo@ripon.edu,ripon
Rivier University,admissions@rivier.edu,rivier
Roanoke College,admissions@roanoke.edu,roanoke
Robert Morris University,enroll@robertmorris.edu,robertmorris
Robert Morris University Pa,admissions@rmu.edu,rmu
Roberts Wesleyan College,admissions@roberts.edu,roberts
Rochester College,admissions@rc.edu,rc
Rochester Institute Technology,admissions@rit.edu,rit
Rockford University,admissions@rockford.edu,rockford
Rockhurst University,admissions@rockhurst.edu,rockhurst
Rocky Mountain College,admissions@rocky.edu,rocky
Rocky Mountain College Of Art And Design,admissions@rmcad.edu,rmcad
Roger Williams University,admit@rwu.edu,rwu
Rogers State University,admissions@rsu.edu,rsu
Rollins College,admission@rollins.edu,rollins
Roosevelt University,admission@roosevelt.edu,roosevelt
Rose Hulman Institute Technology,admissions@rose-hulman.edu,rose-hulman
Rosemont College,admissions@rosemont.edu,rosemont
Rowan University,admissions@rowan.edu,rowan
Rush University,rmc_admissions@rush.edu,rush
Rust College,admissions@rustcollege.edu,rustcollege
Rutgers The State University Of New Jersey Camden,admissions@camden.rutgers.edu,rutgers
Rutgers The State University Of New Jersey New Brunswick,admissions@ugadm.rutgers.edu,rutgers
Rutgers The State University Of New Jersey Newark,newark@admissions.rutgers.edu,rutgers
Ryerson University,international@ryerson.ca,ryerson
Sacred Heart Major Seminary,admissions@shms.edu,shms
Sacred Heart University,enroll@sacredheart.edu,sacredheart
Sage Colleges,contact@sage.edu,sage
Saginaw Valley State University,admissions@svsu.edu,svsu
Sagu American Indian College,aicinfo@sagu.edu,sagu
Saint Anselm College,admission@anselm.edu,anselm
Saint Augustines University,admissions@st-aug.edu,st-aug
Saint Francis University,admissions@francis.edu,francis
Saint Josephs College Maine,admissions@sjcme.edu,sjcme
Saint Josephs University,admit@sju.edu,sju
Saint Leo University,admissions@saintleo.edu,saintleo
Saint Louis University,admission@slu.edu,slu
Saint Louis University Madrid Campus Spain,admissions-madrid@slu.edu,slu
Saint Martins University,admissions@stmartin.edu,stmartin
Saint Mary Woods College,admission@smwc.edu,smwc
Saint Marys College,admission@saintmarys.edu,saintmarys
Saint Marys College California,smcadmit@stmarys-ca.edu,stmarys-ca
Saint Marys University Minnesota,admission@smumn.edu,smumn
Saint Michaels College,admission@smcvt.edu,smcvt
Saint Peters University,admissions@saintpeters.edu,saintpeters
Saint Vincent College,admission@stvincent.edu,stvincent
Saint Xavier University,admission@sxu.edu,sxu
Salem College,admissions@salem.edu,salem
Salem State University,admissions@salemstate.edu,salemstate
Salisbury University,admissions@salisbury.edu,salisbury
Salve Regina University,sruadmis@salve.edu,salve
Sam Houston State University,admissions@shsu.edu,shsu
Samford University,admission@samford.edu,samford
San Diego Christian College,admissions@sdcc.edu,sdcc
San Diego State University,admissions@sdsu.edu,sdsu
San Francisco Art Institute,admissions@sfai.edu,sfai
San Francisco Conservatory Of Music,admit@sfcm.edu,sfcm
San Francisco State University,ugadmit@sfsu.edu,sfsu
San Jose State University,admissions@sjsu.edu,sjsu
Santa Clara University,admission@scu.edu,scu
Sarah Lawrence College,slcadmit@sarahlawrence.edu,sarahlawrence
Savannah College Art And Design,admission@scad.edu,scad
Savannah State University,admissions@savannahstate.edu,savannahstate
School Art Institute Chicago,admiss@saic.edu,saic
School Of The Museum Of Fine Arts Boston,smfaadmissions@tufts.edu,tufts
School Of Visual Arts,admissions@sva.edu,sva
Schreiner University,admissions@schreiner.edu,schreiner
Scripps College,admission@scrippscollege.edu,scrippscollege
Seattle Pacific University,admissions@spu.edu,spu
Seattle University,admissions@seattleu.edu,seattleu
Seton Hall University,thehall@shu.edu,shu
Seton Hill University,admit@setonhill.edu,setonhill
Sewanee,admiss@sewanee.edu,sewanee
Shasta Bible College And Graduate School,admissions@shasta.edu,shasta
Shaw University,admissions@shawu.edu,shawu
Shawnee State University,to_ssu@shawnee.edu,shawnee
Shenandoah University,admit@su.edu,su
Shepherd University,admission@shepherd.edu,shepherd
Shippensburg University Of Pennsylvania,admiss@ship.edu,ship
Shorter University,admissions@shorter.edu,shorter
Siena College,admissions@siena.edu,siena
Siena Heights University,admissions@sienaheights.edu,sienaheights
Sierra Nevada College,admissions@sierranevada.edu,sierranevada
Silver Lake College,admslc@sl.edu,sl
Simmons University,ugadm@simmons.edu,simmons
Simon Fraser University,admissionsteam@sfu.ca,sfu
Simpson College,admiss@simpson.edu,simpson
Simpson University,admissions@simpsonu.edu,simpsonu
Skidmore College,admissions@skidmore.edu,skidmore
Slippery Rock University Of Pennsylvania,asktherock@sru.edu,sru
Smith College,admission@smith.edu,smith
Soka University of America,admission@soka.edu,soka
Sonoma State University,student.outreach@sonoma.edu,sonoma
South Carolina State University,admissions@scsu.edu,scsu
South Dakota School Of Mines And Technology,admissions@sdsmt.edu,sdsmt
South Dakota State University,sdsu.admissions@sdstate.edu,sdstate
Southeast Missouri State University,admissions@semo.edu,semo
Southeastern Baptist Theological Seminary,admissions@sebts.edu,sebts
Southeastern Louisiana University,admissions@southeastern.edu,southeastern
Southeastern Oklahoma State University,admissions@se.edu,se
Southeastern University,admission@seu.edu,seu
Southern Adventist University,admissions@southern.edu,southern
Southern Arkansas University,muleriders@saumag.edu,saumag
Southern California Institute of Architecture,admissions@sciarc.edu,sciarc
Southern Connecticut State University,admissions@southernct.edu,southernct
Southern Connecticut State University,leeg1@southernct.edu,southernct
Southern Illinois University Carbondale,admissions@siu.edu,siu
Southern Illinois University Edwardsville,admissions@siue.edu,siue
Southern Methodist University,ugadmission@smu.edu,smu
Southern Nazarene University,admissions@snu.edu,snu
Southern New Hampshire University,admission@snhu.edu,snhu
Southern Oregon University,admissions@sou.edu,sou
Southern University And Am College,admit@subr.edu,subr
Southern University At New Orleans,lgarrett@suno.edu,suno
Southern Utah University,adminfo@suu.edu,suu
Southern Vermont College,admissions@svc.edu,svc
Southern Virginia University,admissions@svu.edu,svu
Southern Wesleyan University,admissions@swu.edu,swu
Southwest Baptist University,admissions@sbuniv.edu,sbuniv
Southwest Minnesota State University,smsu.admissions@smsu.edu,smsu
