College Name,email,domain,state,are undocumented students considered international or domestic?,are you need-blind for undocumented students?,are there any restrictions on merit aid for undocumented students at your school?,does your school provide merit aid specially for undocumented students?,would you advise an undocumented student to reveal their status in their application or subsequent email?,how would their status affect their application?,is there a special contact point for undocumented students?,what other piece of advice would you give an undocumented student hoping for admission at your school?,other admissions information,are undocumented students eligible for need-based aid?,"what financial aid application should undocumented students send? the css, fafsa, isfaa or a form unique to your school?","if need-based aid is not available, is there a feasible path undocumented students can take to pay for their education with stackable merit scholarships, loans and/or grants from your school?",what would be the requirements for such scholarships and what would a student's chances of getting them?,other financial aid information,are there organized groups or clubs comprised of or advocating for undocumented students in your school?,how often does your office receive applications from undocumented students?,does your school allow immigration and customs enforcement (ice) officers onto campus without a warrant?,does the campus police enforce immigration law?,does your school share student immigration status with ice?,does your school provide distance-learning options for deported students to complete their degrees?,does your school provide confidential legal support to students with immigration law questions and issues?,other student life information,has undocu-student webpage,other information,special contact,gives aid?
College Of Staten Island Cuny,['admissions@csi.cuny.edu'],csi.cuny,,Domestic,We are not,No restrictions,We do not for a majority of these cases.,,,No specific counselor.,Student is treated like everyone else. They just need to do their best!,,Jose Peralta Dream Act for NY residents,,,,,https://ww2.hunter.cuny.edu/students/student-life/clubs/,Every year,,,,,https://ww2.hunter.cuny.edu/students/student-life/emergency-support-and-resources/emergency-funding/,,,,,0.0
College Of The Ozarks,['admissions@cofo.edu'],cofo,,,,,,,,,,,,,,,,,,,,,,,,,,,
College St Joseph,['admissions@csj.edu'],csj,,,,,,,,,,,,,,,,,,,,,,,,,,,
College St Scholastica,['admissions@css.edu'],css,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Wooster,['admissions@wooster.edu'],wooster,,,,,,,,,,,,,,,,,,,,,,,,,,,
College of Mount Saint Vincent,['admissions@mountsaintvincent.edu'],mountsaintvincent,,,,,,,,,,,,,,,,,,,,,,,,,,,
College of New Jersey,['tcnjinfo@tcnj.edu'],tcnj,,,,,,,,,,,,,,,,,,,,,,,,,,,
College of New Rochelle,['admission@cnr.edu'],cnr,,,,,,,,,,,,,,,,,,,,,,,,,,,
College of Saint Elizabeth,['apply@cse.edu'],cse,,,,,,,,,,,,,,,,,,,,,,,,,,,
College of Saint Rose,['admit@strose.edu'],strose,,,,,,,,,,,,,,,,,,,,,,,,,,,
College of William & Mary,['admission@wm.edu'],wm,,,,,,,,,,,,,,,,,,,,,,,,,,,
College of the Atlantic Atlantic,['inquiry@coa.edu'],coa,,,,,,,,,,,,,,,,,,,,,,,,,,,
College of the Holy Cross,['admissions@holycross.edu'],holycross,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado Christian University,['ccuadmissions@ccu.edu'],ccu,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado College,['admission@coloradocollege.edu'],coloradocollege,CO,"Undocumented students are considered domestic students, not international, if they will graduate from a US secondary (high school) institution.","As with our general applicant pool, we are not need-blind for undocumented students.","The college will consider merit aid as part of our wholistic review process, as we do for ALL applicants to CC.","Financial Aid to fully meet 100% of demonstrated need for undocumented students are pulled from special funds, which include grants and merit aid special for undocumented students.",,Citizenship status would have no bearing on their application/candidacy to Colorado College.,,"Apply with confidence to Colorado College, and now we are affirmative for undocumented students! We are committed to serving all students in the application process, regardless of citizenship status.","We want students to feel comfortable disclosing their status to us, so that we can provide the necessary resources to apply for financial aid, skip any unnecessary steps in the financial aid process and admission process.",,,,,"Please contact the Office of Financial Aid for any additional financial related questions:

Phone: (719) 389-6651
Toll-free: (800) 260-6458
Email:financialaid@coloradocollege.edu",,Often. Each year we received dozens of applications from undocumented students to Colorado College.,"No.

There are multiple student life offices across campus that have resources for undocumented and DACA students:
-Career Center: https://www.coloradocollege.edu/offices/careercenter/begin-your-search/resources-for-undocumented-and-daca-students.html

-The Butler Center: https://www.coloradocollege.edu/offices/butlercenter/education-resources/index.html

The Global Education and Field Study (https://www.coloradocollege.edu/offices/globalandfieldstudy/international-students/index.html) office supports international students (immigration law questions, campus support and resources, etc.). You can contact their office directly at: isss@coloradocollege.edu",,,,,,,,"Pedro Ramirez, Associated Director of Outreach & Access | pramirez@coloradocollege.edu | 719-389-6944",0.0
Colorado Mesa University,['admissions@coloradomesa.edu'],coloradomesa,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado School Of Mines,['admit@mines.edu'],mines,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado State University,['admissions@colostate.edu'],colostate,,"For students living in the US, domestic.",No.,No.,All of our merit aid is open to our undocumented domestic students.,,It does not affect their admissions decision.,,Be in touch with our office to answer your questions during every step of the way.,In their application. It is an option in common app.,Yes.,,,,"Use the one unique to the state of Colorado, the CASFA.","Yes, UndocUnited is our student clubb.",,No.,No.,No.,Potentially.,Yes.,Every year.,,,Priscilla Gardea. Priscilla.Gardea@colostate.edu,0.0
Colorado State University Pueblo,['info@csupueblo.edu'],csupueblo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia College,"['admissions@ccis.edu', 'admissions@columbiasc.edu']",ccis,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia College Chicago,['admissions@colum.edu'],colum,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia College Hollywood,['admissions@columbiacollege.edu'],columbiacollege,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia International University,['yesciu@ciu.edu'],ciu,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus College Of Art And Design,['admissions@ccad.edu'],ccad,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus State University,['admissions@columbusstate.edu'],columbusstate,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concord University,['admissions@concord.edu'],concord,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Concordia College,['admission@concordia-ny.edu'],concordia-ny,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concordia College Moorhead,['admissions@cord.edu'],cord,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concordia University Chicago,['Admission@CUChicago.edu'],CUChicago,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concordia University Irvine,"['admissions@cui.edu', 'admission@cui.edu']",cui,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concordia University Nebraska,['admiss@cune.edu'],cune,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concordia University Portland Or,['admission@cu-portland.edu'],cu-portland,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concordia University St Paul,"['admissions@csp.edu', 'admission@csp.edu']",csp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Concordia University Texas,['admissions@concordia.edu'],concordia,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concordia University Wisconsin,['admissions@cuw.edu'],cuw,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut College,['admission@conncoll.edu'],conncoll,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conservatory Of Music Of Puerto Rico,['admisiones@cmpr.edu'],cmpr,,,,,,,,,,,,,,,,,,,,,,,,,,,
Converse College,['admissions@converse.edu'],converse,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooper Union Advancement Science And Art,['admissions@cooper.edu'],cooper,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppin State University,['admissions@coppin.edu'],coppin,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corban University,['admissions@corban.edu'],corban,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornell College,['admission@cornellcollege.edu'],cornellcollege,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornerstone University,['admissions@cornerstone.edu'],cornerstone,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornish College Of The Arts,['admission@cornish.edu'],cornish,,,,,,,,,,,,,,,,,,,,,,,,,,,
Covenant College,['admissions@covenant.edu'],covenant,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creighton University,['admissions@creighton.edu'],creighton,NE,Domestic,We are need-blind all applications.,"Merit scholarships are solely based on merit, nothing else.","There are no scholarships specific to undocumented students. There are additional scholarships available for special programs. To be eligible, you need to complete your application by December 1.",,Citizenship status plays no factor in the admissions process.,Nope! You'll work with your admissions counselor for your high school.,"Do not stress about your status in the admissions process. When we review your application, we want to see that you'll be a good fit on our campus and a successful student.","Yes, because then we can help you with the need-based aid process and connect you with various support services on campus.",Yes and we will help you with this process.,,You can stack scholarships with need-based aid.,"Scholarships are based on merit: grades, extra-curricular and leadership activities, any test scores you decide to submit, etc. Most students qualify for some level of scholarship.",We have our own version of the FAFSA that we will have you complete for need-based aid.,"We do have a committee of staff and faculty who discuss needs of undocumented students, to make sure they are supported on campus. We have various departments that advocate for and offer support services for undocumented students.",We get many applications every year from undocumented students.,"No, we would not.","Nope, our campus safety is a security team, not the police.","We only share the information that we legally have to, such as student visa information.","I'm not sure we've run into this in the past, but we may be able to support a student who needs to be virtual for a short time.",,,,,,0.0
Criswell College,['enrollment@criswell.edu'],criswell,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crown College,['admissions@crown.edu'],crown,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culinary Institute America Ny,['admissions@culinary.edu'],culinary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culver Stockton College,['admission@culver.edu'],culver,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland University,['admissions@cumberland.edu'],cumberland,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuny Baruch College,['admissions@baruch.cuny.edu'],baruch.cuny,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuny City College,['admissions@ccny.cuny.edu'],ccny.cuny,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuny Hunter College,['admissions@hunter.cuny.edu'],hunter.cuny,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuny John Jay College Of Criminal Justice,['admissions@jjay.cuny.edu'],jjay.cuny,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuny Lehman College,['enroll@lehman.cuny.edu'],lehman.cuny,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuny Medgar Evers College,['applytomec@mec.cuny.edu'],mec.cuny,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuny New York City College Of Technology,['admissions@citytech.cuny.edu'],citytech.cuny,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuny Queens College,['admissions@qc.cuny.edu'],qc.cuny,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuny York College,['admissions@york.cuny.edu'],york.cuny,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curry College,['adm@curry.edu'],curry,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daemen College,['admissions@daemen.edu'],daemen,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dakota State University,['admissions@dsu.edu'],dsu,SD,,,,,,,,,As for admissions. Undocumented students will follow our regular university admission requirements. You can find those requirements here: https://dsu.edu/admissions/undergraduate/how-to-apply/undergraduate-admissions-requirements.html. Their status does not affect admission decisions.,,,,,"As for financial aid, undocumented students do not qualify for aid at DSU as our financial aid office primarily offers state and federal aid options. Because of that, they will not qualify as they are not US citizens. They may qualify for scholarships if they meet the merit based qualifications.",,,,,,,,"Our clubs at DSU are student developed and ran, and we currently do not have any clubs based on status. I am currently unaware of our institution having to provide information about immigration.",,,,0.0
Dakota Wesleyan University,['admissions@dwu.edu'],dwu,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Baptist University,['admiss@dbu.edu'],dbu,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Christian College,['admissions@dallas.edu'],dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalton State College,['admissions@daltonstate.edu'],daltonstate,GA,,,,,,,,,"Regarding Admissions- Undocumented students are able to apply and take classes at Dalton State College. We do not deny students based on their residency. Our application has a section where you can claim residency. If a student does not have legal residency, they can simply not claim residency which will eliminate the need to submit any lawful presence documents. The student will just need to submit transcripts and an immunization record. Once the student is accepted, they can freely take classes.",,,,,"Regarding Financial Aid- Unfortunately, undocumented students are not eligible for any federal funding as you need a SSN number to apply for FAFSA. FAFSA is what allows all schools in the country to verify a student's financial aid eligibility. Each school may have independent help in regards to offering students additional aid that does not fall under federal funding. At Dalton State, we have the Dalton State Foundation Scholarship. These are scholarships that all Dalton State students can apply for regardless of residency. The scholarships within the foundation have various requirements based on different things like GPA, major, and demographical information. Undocumented students do have to pay the out-of-state tuition rate as there is no way to verify residency for in-state tuition. There are some private loan lenders that allow students under the DACA status to apply for loans with a US resident/Citizen Co-signer such as SoFi. https://www.sofi.com/private-student-loans/",,,,,,,,"Regarding student life-There are no requirements for residency to be involved in any of our student life functions. All our students are welcomed and encouraged to join organizations and be a part of all our campus events. Our campus police are exceptionally friendly and never will legal residency be asked of students from our public safety department. At Dalton State, we are Georgia's first and only HSI institution. This stands for Hispanic Serving Institution. Over 25% of our student population identifies as Hispanic.",,,"I highly recommend contacting our Dean of Students, Dr. Jami Hall, for further questions regarding our policies that may affect undocumented students. Her email is jhall@daltonstate.edu",0.0
Dartmouth College,['admissions.office@dartmouth.edu'],dartmouth,NH,,,,,,,,,,"Undocumented (https://admissions.dartmouth.edu/glossary-term/undocumented-students) and DACA students receive Dartmouth’s need-based financial aid (https://admissions.dartmouth.edu/glossary-term/need-based-financial-aid) in the same way that U.S. citizens or permanent residents do. We will meet 100% of your demonstrated need (https://admissions.dartmouth.edu/glossary-term/demonstrated-financial-need), using Dartmouth's financial aid.
Please visit our website, by clicking here (https://admissions.dartmouth.edu/afford/apply-financial-aid#filter-1571), for more information regarding how to apply for aid as an undocumented applicant.",,"Financial Aid funds may include need-based financial aid (https://admissions.dartmouth.edu/glossary-term/need-based-financial-aid), campus employment, and if appropriate, a loan.

You will find many answers to your questions right on our website. A few of our pages you may find particularly helpful are the following:
Undocumented students: https://admissions.dartmouth.edu/glossary-term/undocumented-students
Apply for financial aid: https://admissions.dartmouth.edu/afford/apply-financial-aid#filter-1571
Types of Aid: https://admissions.dartmouth.edu/afford/types-financial-aid
How Aid Works: https://admissions.dartmouth.edu/afford/how-aid-works",,"Undocumented students should complete and submit the CSS Profile and IDOC. Because federal funds (https://admissions.dartmouth.edu/glossary-term/federal-financial-aid) are not available to undocumented students, you will not fill out the FAFSA. More information can be found here (https://admissions.dartmouth.edu/afford/apply-financial-aid#filter-1571).",,,,,,,,,,"Please visit our Undocumented Students page: https://admissions.dartmouth.edu/glossary-term/undocumented-students.

We do not offer merit aid we only offer need-based aid, which isn't impacted by status. We do not have a point person for undocumented students, but any admissions officer should be able to answer your questions. The choice to reveal your status is completely yours. CoFIRED (dartmouth.cofired@dartmouth.edu) is a student organization that advocates for undocumented students and more humane immigration policies. They're a great resource for you as you begin to ask those more specific questions about student life as an undocumented student.",,0.0
Davenport University,['info@davenport.edu'],davenport,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davidson College,['admission@davidson.edu'],davidson,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis Elkins College,['summersm@dewv.edu'],dewv,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dean College,"['admissions@dean.edu', 'admission@dean.edu']",dean,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defiance College,['admissions@defiance.edu'],defiance,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware State University,['admissions@desu.edu'],desu,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware Valley University,['admitme@delval.edu'],delval,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta State University,['admissions@deltastate.edu'],deltastate,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denison University,"['admissions@denison.edu', 'admission@denison.edu']",denison,OH,Undocumented students are considered international in our admission/financial aid process,"We are need-aware when reviewing international applicants, but if admitted, we meet full demonstrated need","No, there are no restrictions","All of our applicants are eligible for merit aid, but we don't have merit programs specifically for undocumented students",,It would not change how we review the application.,,"I would suggest all interested applicants engage with our office by attending events, either in person or virtual, and to complete an admission interview (virtual is available).","Yes, I would encourage disclosure of undocumented status on the application, or in a separate email. We keep all applicant information private.",Yes,,"In addition to need-based aid, we also offer scholarships and work-study to undocumented students, and we meet the full demonstrated need of every student we admit. Unfortunately we do not offer institutional loans to non-US citizens.",,"We have our own unique form, which is the Denison COF: https://connect.denison.edu/checklist/cof.pdf",Yes there are groups that advocate for undocumented students and immigrants generally speaking. You can see a recent example here: https://denisonian.com/2021/03/features/denison-students-introduce-new-organization-immigrants-without-borders/,We receive applications for undocumented students every admission cycle.,No,No,No,"No, unfortunately we do not offer distance learning, all of our instruction is on campus. Keep in mind we're a small, residential campus. We're just not set up to support remote learning (outside of the pandemic, that is).","Yes, we have services here that students can use, including access to immigration attorneys",,,,,0.0
Depaul University,['admission@depaul.edu'],depaul,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depauw University,['admission@depauw.edu'],depauw,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desales University,['admiss@desales.edu'],desales,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dickinson College,['admissions@dickinson.edu'],dickinson,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dickinson State University,['dsu.hawks@dickinsonstate.edu'],dickinsonstate,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digipen Institute Of Technology,['admissions@digipen.edu'],digipen,WA,,,,,,,,,,,,,,,,,,,,,,,,"Given recent reports and concerns related to immigration around the country, the Office of Admissions wanted share our concern and support to students affected by recent increased Immigration and Customs Enforcement activity nationwide. Regardless of immigration status, we want all applicants to know that you are welcome here. You and your family are welcome to become an integral part of the DigiPen Dragon community.

Generally, DACA and other undocumented students are not eligible for federal, state, or institutional need-based financial aid due to eligibility criteria that requires either U.S. citizenship or other eligible noncitizen status (e.g., permanent residents of the U.S.) and/or the submission of the Free Application for Federal Student Aid (FAFSA). DACA students are not eligible to complete the FAFSA due to these federal regulations.

Due to the complexity and uncertainty (e.g., potential changes in admission criteria) caused by the global pandemic, you are strongly encouraged to apply to DigiPen and send required documents to us first. Once you have decided to apply to DigiPen, we can discuss further via Zoom, phone, or in person. As a reminder, you can submit your online application via https://management.digipen.edu/srs-app/applicationmenu.aspx.",,0.0
Dillard University,['admissions@dillard.edu'],dillard,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dixie State University,['admissions@dixie.edu'],dixie,UT,Domestic. Undocumented students do not work with DSU International Student Services to apply.,,,,,It ensures that they get the correct application checklist (same as for our domestic applicants) and ensures that they are not fraudulent in certifying that all of the information on their initial application is accurate.,"No, undocumented students are treated the same as domestic applicants and work through the same contact email address: admissions@dixie.edu","We are an open enrollment institution that does not have a GPA minimum required for admission.
Undocumented students who have attended high school in Utah for at least 3 years may qualify for a tuition waiver to receive the equivalent of resident tuition under Utah State House Bill 144.",We ask explicitly in the application and advise that students reveal their status while applying. They need to do so in order to receive the correct application checklist following application submission and for their application to avoid being put on hold in a review bin.,,,,,,,,,,,,,,,,,0.0
Doane University,['admissions@doane.edu'],doane,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican College,['admissions@dc.edu'],dc,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican University,['domadmis@dom.edu'],dom,IL,,,,,,,,,,,,,,,"Yes, the most notable: Undocumented & Immigrant Allyance.",All the time about 10% of our application pool identifies as such.,"No, we are a sanctuary campus and have policies/procedures to follow if that occurs.",,,"It would depend on the program, we do offer a few online degrees.","Yes, we work with local partners to provide resources to students and their families.",,,,,0.0
Dominican University California,['enroll@dominican.edu'],dominican,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dordt College,['admissions@dordt.edu'],dordt,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake University,['admission@drake.edu'],drake,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drew University,['cadm@drew.edu'],drew,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drexel University,['enroll@drexel.edu'],drexel,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drury University,['druryad@drury.edu'],drury,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke Kunshan University,['undergrad-admissions@dukekunshan.edu.cn'],dukekunshan,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke University,['undergrad-admissions@duke.edu'],duke,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duquesne University,['admissions@duq.edu'],duq,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dyouville College,['admissons@dyc.edu'],dyc,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earlham College,"['admission@earlham.edu', 'admissions@earlham.edu']",earlham,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Carolina University,['admis@ecu.edu'],ecu,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Central University,['admissions@ecok.edu'],ecok,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Stroudsburg University Of Pennsylvania,['undergrads@esu.edu'],esu,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Tennessee State University,['go2etsu@etsu.edu'],etsu,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Texas Baptist University,['admissions@etbu.edu'],etbu,,,,,,,,,,,,,,,,,,,,,,,,,,,
East West University,['admissions@eastwest.edu'],eastwest,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Connecticut State University,['admissions@easternct.edu'],easternct,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Illinois University,['admissions@eiu.edu'],eiu,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Kentucky University,['admissions@eku.edu'],eku,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Mennonite University,['admiss@emu.edu'],emu,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Michigan University,['admissions@emich.edu'],emich,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Nazarene College,['admissions@enc.edu'],enc,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern New Mexico University,['enrollment.services@enmu.edu'],enmu,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Oregon University,['admissions@eou.edu'],eou,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern University,['ugadm@eastern.edu'],eastern,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Washington University,['admissions@ewu.edu'],ewu,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eckerd College,['admissions@eckerd.edu'],eckerd,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgewood College,['admissions@edgewood.edu'],edgewood,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edinboro University Pennsylvania,['admissions@edinboro.edu'],edinboro,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edward Waters College,['admissions@ewc.edu'],ewc,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth City State University,['admissions@ecsu.edu'],ecsu,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabethtown College,['admissions@etown.edu'],etown,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elmhurst College,['admit@elmhurst.edu'],elmhurst,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elmira College,['admissions@elmira.edu'],elmira,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elms College,['admissions@elms.edu'],elms,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elon University,['admissions@elon.edu'],elon,,,,,,,,,,,,,,,,,,,,,,,,,,,
Embry Riddle Aeronautical University Daytona Beach,['dbadmit@erau.edu'],erau,,,,,,,,,,,,,,,,,,,,,,,,,,,
Embry Riddle Aeronautical University Prescott,['pradmit@erau.edu'],erau,,,,,,,,,,,,,,,,,,,,,,,,,,,
Embry Riddle Aeronautical University Worldwide Campus,['wwadmissions@erau.edu'],erau,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emerson College,['admission@emerson.edu'],emerson,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emily Carr University Of Art Design,['admissions@ecuad.ca'],ecuad,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emmanuel College,['enroll@emmanuel.edu'],emmanuel,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emmanuel College Ga,['admissions@ec.edu'],ec,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emmanuel College Ma,['admissions@emmanuel.edu'],emmanuel,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emmaus Bible College,['admissions@emmaus.edu'],emmaus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emory Henry College,['ehadmiss@ehc.edu'],ehc,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emory University,['admission@emory.edu'],emory,,,,,,,,,,"Undocumented students are considered domestic students, which means that they are evaluated for financial aid on a need-blind basis, like other domestic students.

Undocumented students are eligible to receive merit aid.

If the student does not indicate their status, they will likely be mis-labeled as an international student, so it is advisable to make our office aware.",,,,,,,,,,,,,,,https://apply.emory.edu/apply/other/undocumented.html,"William Segura, william.segura@emory.edu",0.0
Emporia State University,['go2esu@emporia.edu'],emporia,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endicott College,['admission@endicott.edu'],endicott,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erskine College,['admissions@erskine.edu'],erskine,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escp Europe Business School,['bachelorlondon@escpeurope.eu'],escpeurope,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eugene Lang College The New School For Liberal Arts,['lang@newschool.edu'],newschool,,,,,,,,,,"The New School is committed to being a supportive and safe academic community for students of all backgrounds, regardless of their citizenship status. We would never release a student's information, and thoroughly adhere to FERPA regulations in the interest of student privacy. For more information about our policies, please visit our website: https://www.newschool.edu/student-advocacy/undocumented-students/, where we have gathered additional resources for prospective college-bound and currently enrolled students. Links include information for legal services, external scholarships, and NYC representation resources for undocumented students.

Please note, applicants to The New School who have undocumented status should apply as international applicants. All applicants to Parsons School of Design are automatically considered for merit scholarship based on a holistic evaluation of the application. For additional information, visit:
• How to Apply page for BFA and BBA applicants: https://www.newschool.edu/parsons/admission-undergraduate-design-program/
• In addition, on the Common Application, applicants who currently have DACA status will need to select ""Other (Non-US)"" for citizenship status. Then answer ""No"" for ""Do you currently hold a valid U.S. Visa"". Since deferred action does not provide an individual with lawful status, no other fields will be required.
• FERPA Student Records Privacy at The New School: https://www.newschool.edu/registrar/student-records-privacy-policy/
• International Student & Scholar Services for visa information: https://www.newschool.edu/international-students-scholars/
• Student Financial Services pages for Financial Aid details: https://www.newschool.edu/financial-aid/
• FAFSA Tips for DACA students: https://studentaid.gov/sites/default/files/financial-aid-and-undocumented-students.pdf and External Scholarships: https://drive.google.com/drive/folders/1LN0HG8LDRiV81f1hCwpyvZfZrrpeT-lx
• Additional helpful information at ""My Undocumented Life"": https://mydocumentedlife.org/
If you have further questions about the financial aid process, please contact finaid@newschool.edu.
Contact International Student Services at iss@newschool.edu and Parsons Advising at advisingfirstyear@newschool.edu for information about support services and our community support and advocacy for undocumented students.",,,,,,,,,,,,,,,,,0.0
Eureka College,['admissions@eureka.edu'],eureka,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evangel University,['admissions@evangel.edu'],evangel,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evergreen State College,['admissions@evergreen.edu'],evergreen,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairfield University,['admis@fairfield.edu'],fairfield,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairleigh Dickinson University,['admissions@fdu.edu'],fdu,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairmont State University,['admit@fairmontstate.edu'],fairmontstate,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faith Baptist Bible College And Theological Seminary,['admissions@faith.edu'],faith,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion Institute Of Technology,['fitinfo@fitnyc.edu'],fitnyc,,,,,,,,,,,,,,,,,,,,,,,,https://www.suny.edu/attend/get-started/undocumented/,,,
