Domain,College Name,Are undocumented students considered international or domestic?,Are you need-blind for undocumented students?,Are there any restrictions on merit aid for undocumented students at your school?,Does your school provide merit aid specially for undocumented students?,Would you advise an undocumented student to reveal their status in their application or subsequent email?,How would their status affect their application?,Is there a special contact point for undocumented students?,What other piece of advice would you give an undocumented student hoping for admission at your school?,Other Admissions Information,Are undocumented students eligible for need-based aid?,"What financial aid application should undocumented students send? The CSS, FAFSA, ISFAA or a form unique to your school?","If need-based aid is not available, is there a feasible path undocumented students can take to pay for their education with stackable merit scholarships, loans and/or grants from your school?",What would be the requirements for such scholarships and what would a student's chances of getting them?,Other Financial Aid Information,Are there organized groups or clubs comprised of or advocating for undocumented students in your school?,How often does your office receive applications from undocumented students?,Does your school allow Immigration and Customs Enforcement (ICE) officers onto campus without a warrant?,Does the campus police enforce immigration law?,Does your school share student immigration status with ICE?,Does your school provide distance-learning options for deported students to complete their degrees?,Does your school provide confidential legal support to students with immigration law questions and issues?,Other Student Life Information,Has undocu-student webpage,Other Information,Special Contact,Gives aid?
gwu,George Washington University,Undocumented students are considered domestic students.,"We still require students to submit CSS profile, as we are need-aware intuitions.",All students can receive merit aid.,We do not offer any special merit aid for undocumented students.,,,,,"It would depend on what the student is comfortable with. If they want to put it on their application, they can. If they rather email or call, they can do that as well. We truly want to make sure the student is comfortable in letting us know.",No. Need-based aid is given out based on the FAFSA.,,Students can bring in outside scholarships and loans to cover the cost.,,We require the FAFSA and CSS profile. If a student cannot submit a FAFSA then they will just submit the CSS profile.,Yes GW Undocu https://www.instagram.com/undocugw/,Every year.,No,No,We do not share the immigration status of undocumented students.,Until the pandemic majority of classes were on campus. Going forward there will be a mix of classes available.,"Yes.
GW Law -- Immigration Law Clinic
Please call between 9 a.m. and 5 p.m. on Tuesdays or Wednesdays. no walk-ins please: 202-994-7463
Website: https://www.law.gwu.edu/immigration-clinic",,,,Mr. Lowe at jdlowe@gwu.edu,0
georgetown,Georgetown University,,,,,,,,,,,,,,,,,,,,,,,,"We have a holistic review process and will consider all aspects of the application when evaluating a student for admissions at Georgetown University. You can read more about our suggested high school curriculum online: https://uadmissions.georgetown.edu/applying/preparation-process/. We generally look for students who are competitive in their classes and excel in those upper-level courses but will evaluate a student based on all aspects of their application. For statistics on the average scores of our admitted students please review the student profile here: https://georgetown.app.box.com/s/z4tgwmps28jo4hd83i1migipgjw43uuo. We strongly recommend you also review our preparation process page (https://uadmissions.georgetown.edu/applying/preparation-process/) and general information page (https://uadmissions.georgetown.edu/applying/first-year/) for more details on how to prepare to apply to Georgetown University. We have specific information about applying as an international applicant here: https://uadmissions.georgetown.edu/applying/international/.

We only offer need-based financial aid. We do not offer any merit-based scholarships. We are committed to meeting 100% of a student's demonstrated need and practice need-blind review for all US citizens, undocumented and DACA. Please contact the Office of Student Financial Services: (http://finaid.georgetown.edu/) with any specific questions. We would recommend that you contact them via their suggested methods posted on their website and if need, contact them via email at finfront@georgetown.edu.

We strongly recommend that you connect with a current student to learn more about the programs that you've asked about. There are a few options for you and then please do not hesitate to call our office if you have any questions about the application process or life at Georgetown. Through GAAP you can email a state or regional chair (https://gaap.georgetown.edu/state-chairs/) or request a virtual coffee & chat: https://gaap.georgetown.edu/coffee-chat/. You can also contact a tour guide (https://www.georgetowntourguides.com/) who is well versed in various programs, activities, and campus culture.

For more information we suggest attending a virtual information session, sign-ups can be found here: https://uapply.georgetown.edu/portal/virtualsession.

Please feel free to call our office at 202-687-3600 should you have any further questions or concerns that require immediate assistance.",,0
hmc,Harvey Mudd College,international students,No,"yes, one of our merit award programs is only open to US citizens and US permanent residents. By contrast, we have two merit award programs that are only open to international students and the undocumented students can (and has been) awarded these funds.",No,,,No,Contact us directly.,,"Yes, but the budget is very small and that limits our ability to offer admission. Those we do offer admission we meet 100% of calculated need.",,"We do meet 100% of demonstrated need for those we would admit who are undocumented students (or international students, generally)",It is super competitive to gain admission as an international student who needs aid (and undocumented students fall into this category. We generally can offer admission to about 5 people out of perhaps 400 candidates.,Those exact 4.,not one dedicated solely to undocumented students but this would be a component of at least two support programs here.,Probably fewer than a dozen per year.,No,We do not have campus police. campus safety is not allowed to enforce any laws.,No,No,,,,,,0
howard,Howard University,,,,,,,,,Undocumented students who reside in the US may complete the domestic admission requirements as applicable.,,,,,"For financial aid consideration, for students who may not submit the FAFSA, students may complete the HU ISFAA for need and merit-based consideration. All consideration is done equitably. For more information, visit https://admission.howard.edu/financialsupport.",,,,,,,,"To learn more about the university's support for dreamers, please see: https://www2.howard.edu/about/president/statements/defending-dreamers.",,,,0
iit,Illinois Institute Technology,"Undocumented students would apply as domestic, not international.",We are need-blind for all students,No restrictions on merit aid,No we do not have specific scholarships for undocumented students,,We would still review an undocumented student in the same way we review any student and it would not hurt their chances of admission to be undocumented,The point of contact would be the student's assigned admission counselor which they are notified about after submitting their app.,,"If a student feels comfortable sharing their undocumented status, then they are welcome to do so with their admission counselor","Yes, undocumented students are eligible for need-based aid. For complete information about the financial aid process for undocumented students, I recommend you contact our Financial Aid office: finaid@iit.edu.",,,,,"We don't have specific clubs for undocumented students, but any student is encouraged to join all clubs/organizations that they might be interested in. Students can also start their own club if they would like.",,"We consider our campus a safe space for our students, as well as the fact that Chicago is designated as a safe city. As such, we would not allow unauthorized individuals on our campus",I am not sure how our campus safety officers operate and if they are responsible for enforcing immigration law,"Due to FERPA laws, we cannot share the personal information of current students unless they authorize us to do so.","Currently, we do not offer fully online programs at the undergraduate level",,"We can recommend immigration law firms that students can choose to consult for legal advice if those so choose, but we are not partnered with a specific law firm.",,,,0
iusb,Indiana University South Bend,,,,,,,,,,,,,,,,,,,,,,,,This page is specifically meant for DACA and undocumented students at IUSB: https://daca.iu.edu/campus-resources/iusb.html. This page is for undocumented student at all IU schools https://ois.iu.edu/visas/daca-resources.html,,0
ius,Indiana University Southeast,,,,,,,,,"For admission into our university, we do ask students to be honest on their application. Being undocumented or a DACA student will not affect a student's admission. Typically, students are first seen as international. If they complete and turn in certain paperwork showing they are a DACA student, we can then switch them to domestic and if they live in Indiana or our reciprocal counties, they can receive in state tuition. You can visit daca.iu.edu for more information about DACA @ IU.",,,,,,,,,,,,,,,,,0
ithaca,Ithaca College,"For admission purposes, we don’t separate students into international or domestic. You submit the same application which includes citizenship/residency information.",Yes.,"Non US citizens/residents are eligible for general merit based scholarships. There are a couple of scholarship programs (Park Scholar, MLK Scholar) that are limited to US citizens/residents.",No,,,No we do not have a separate process or contact for undocumented students.,I can’t think of any additional advice.,,Undocumented students are eligible for Ithaca College scholarships and need based financial aid. The challenge is that we may not be able to meet full need since you would not be eligible for federal and state need based aid.,,Scholarships and need based aid is stackable but we may not be able to provide all the aid that is needed.,"Scholarships are based on academic achievement so getting good grades has the biggest impact (For Music or Theatre applicants, there is a component from the auditions).","Right now, we require the CSS Profile. however, we may change this requirement in the future so, if you decide to apply, you should verify what is required.","At this time, no. However, you could start one.","To be honest, it is not something that we track.","I believe this statement addresses your question, https://www.ithaca.edu/intercom/article.php/20170125111336452",See link above,See link above,No,We provide some guidance but we do not have an immigration law specialist.,,,,,0
jmu,James Madison University,,,,,,,,,,,,,,,,,,,,,,,,"James Madison University operates under SCHEV guidelines. Please see the following link:
https://schev.edu/index/tuition-aid/in-state-residency",,0
juniata,Juniata College,,,,,,,,,,Yes they are.,,Need-based funding would be available (we treat this application similar to a FAFSA as far as determining aid). Unfortunately this doesn’t cover full tuition and students must look into obtaining a loan (generally this is where the snag occurs as Parent Plus Loans aren’t permitted and private loans must have valid U.S. cosigners).,,Regular students must obtain a 2.0 GPA or higher as well as 24 credit hours. The Admissions Dept. handles these qualifications as well.,,,,,,,,,,,,1
lander,Lander University,,,,,,,,,"Unfortunately, as a state supported university in South Carolina, we are not allowed, by law, to offer admission to undocumented students.",,,,,,,,,,,,,,,,,0
lincoln,Lincoln University,,,,,,,,,,,,,,,,,,,,,,,,,,0
mcdaniel,Mcdaniel College,They are considered international students.,"Yes, the scholarship and merit based are the same for undocumented students.",There are no restrictions on merit aid for undocumented students.,"No, merit aid is looked at the same for all students.",,It would not affect their application.,"We do it based off of where their school is located just like US citizens, and this determines who their Admissions Counselor would be.",Start process as soon as they can and be very proactive in things like higher level scholarship that are competition based and be very attentive for additional opportunities because some opportunities are not as plentiful when it comes to need based aid for undocumented students and maximizing that potential.,"On our application, we ask for a student citizenship status.","Yes, but a limited amount of need-based aid for undocumented students.",,"Undocumented students can use merit aid and limited need based as means for paying for education. If a student gets outside scholarships, they could bring them, and it would not reduce what McDaniel is giving them.","If a student is looking to maximize on all scholarships, they need to complete the application no later than Dec 15 of their senior year. If they are considered for additional scholarships, we would reach out to student and let them know and this process is the same for US Students.",It is not required. students are automatically considered for need based aid.,"Nothing specific but we do have out Office of Diversity Equite and Inclusion as well as Global Bridge for students who identify from being from countries other than the United States where they come together and share cultural experiences. Also, students can start their own clubs if they have at least 5 students interested and a professor who would act as the advisor. This is through our Office of Student Engagement.","Every year. There is not data collected from individual Counselors, but every year, each Counselor gets at least one.",It has never happened to my knowledge.,"No, the campus police do not enforce immigration law.","No, we are private institution.","No, we do not offer distance learning for anyone. We are an on campus and in person institution.",We do not offer legal support for any of our students.,,,,Admissions Counselor,0
menlo,Menlo College,"Undocumented students are considered domestic, unless they are from a country outside of the US.",,No. We give merit based scholarships solely based off of the students' GPA.,Menlo offers merit based scholarships to all students who get accepted.,,,Yes!,,"Here at Menlo College, each counselor gets to know their students individually so I would advise students to be open and reveal their status to their counselor so the counselor can help them with the next steps.","Yes, I believe undocumented students are eligible for need-based aid.",,,,We have all students fill out a FAFSA (if they qualify) and also a CSS Profile.,"Yes, we have about 40+ clubs on campus. Many students have created their own clubs due to our size of school. We really want our students voices to be heard and appreciated, so we let them express their thoughts and concerns.",We have many undocumented students who apply. About 20% of our students are international students. We are the third most diverse college in California!,No we do not.,,,I don't think we do.,Yes we do!,,,,,0
methodist,Methodist University,Domestic,Yes,No,No,,Makes no difference in the admissions process,No,Take the most rigorous high school courses you can and do well in those courses!,Makes no difference in the admissions process,"From institutional funds, yes.",,"Realistically, no - unless there is willingness to pay out of pocket for the remaining balance. Without eligibility for federal or state grants and federal loan funds, the path to having enough aid to cover is very steep.",Merit and/or financial need – over 90% of all students get something.,"If eligible, the FAFSA…if not eligible to complete the FAFSA we can provide a unique institutional form.","We typically do not have any clubs like this, but students are free to attempt to start any club that they desire.",,,,,,,,,,,0
msudenver,Metropolitan State University Of Denver,Undocumented students are considered domestic students. Only students who intend to apply for F1 status are considered international students,"MSU Denver only considers factors that are academic related (GPA, test scores, letters of recommendation, personal statements). We do not based our admission decision on the student’s financial status, however, if a student has economic hardship for paying the application fee we will waive it.","Undocumented students who are residents of Colorado can qualify for in-state tuition, institutional aid, and state financial aid.","Yes, but the student must be a resident of Colorado to qualify for any institutional scholarships.",,"If the student selects ‘No Visa’ on their application, their status will not be questioned, and we will not be asking for further documentation pertaining the student’s immigration status.","MSU Denver has the largest population of undocumented students in the state of Colorado and therefore, all our admissions counselors are trained to help you meeting the needs of an undocumented student. Also consider contacting our Immigrant Services program at MSU Denver who can also provide one on one assistance with any process at MSU Denver.","When it comes to admissions criteria, we consider undocumented students as a domestic student and therefore, the criteria are the same as a US Citizen so I would give the same recommendation as to any other domestic student.
Keep your GPA above 2.6 (although we will still consider you if your GPA is below 2.6)
Study hard on your ACT test. If you didn’t do good on it, still consider applying
We don’t require letters of recommendation or personal statements but if your GPA is less than 2.6 then I recommend you to submit them anyways.
Start the process early! Most colleges and universities have an early scholarship deadline. Ours is in March 1 so try to be admitted to your desired institution ahead of time to avoid any problems with deadlines
Apply for scholarships early. Visit our financial aid website for additional information on financial aid and scholarships www.msudenver.edu/financialaid/","Students have the option of selecting the ‘No Visa’ as an option for immigration status. If you contact our university, you may feel safe in disclosing your status. The privacy of your student records are protected by federal law.",Yes,,,"That depends on the scholarship. Students are only required to fill out the general MSU Denver application for be eligible for our foundation scholarships
Scholarships | Financial Aid | MSU Denver","The state of Colorado has a specialized application called CASFA. We use the information form CASFA for institutional scholarships eligibility
In addition, MSU Denver has a general scholarship application that students can apply for any of our privately funded scholarships. Scholarships | Financial Aid | MSU Denver","Yes, we have the Immigrant Services program Immigrant Services | Immigrant Services | MSU Denver",Every year,MSU Denver is housed on the Auraria campus which is a commuter campus that is controlled by the state.,"No, Auraria campus police does not enforce immigration law.","No, this is illegal because students’ records are protected by FERPA.",For a list of our fully online programs go to www.msudenvere.du/online/,"Yes, our immigrant series programs offer free legal sessions with immigration lawyers from time to time where students can ask questions on a group setting.",,,,,1
msu,Michigan State University,,,,,,,,,,,,,,,,,,,,,,,,"MSU application types are based on citizenship or residency. If you are not a citizen or have a permanent resident card, you are considered international. Application instructions and requirements are posted on our website. Undocumented students who live in the U.S. can apply for a fee classification change if they qualify. The regulations are managed by MSUs' Office of the Registrar. It does not change their status as an interntional but it does allow for residency tuition fee classification if they qualify. Applicants should be directed to contact our office as each applicant is responsible to provide the required material.",,0
mtsu,Middle Tennessee State University,,,,,,,International Admissions,Be transparent. Assure the undocumented student that he/she is welcome. Let them know it might take more time to complete a degree.,,,,,,,,,,,,"Possibly, but I don’t know of an instance where this happens.",Not to my knowledge.,,,,International Admissions,0
millersville,Millersville University,"Depends. Typically, they are considered domestic if they attended High School in Pennsylvania and can demonstrate a Pennsylvania high school diploma. If they have a high school diploma from another State, we typically consider them a domestic out-of-state student.",Our merit process changes from year-to-year but all students are treated as admitted students once admitted and go through the same process regardless of legal status.,"Yes, we are a federal grant recipient for Migrant Education and sometimes our undocumented students are able to take advantage of federal funding through that program.","No, but an undocumented student would be welcome to apply to the same endowed scholarships as US Citizens.",,It wouldn’t.,,Going to college as someone without legal status is difficult but is possible.,"Yes, this would be helpful so that we can start strategizing on how best to help the student moving forward. We also understand that putting this in writing can be difficult so a phone call or Zoom session would also be okay.","No, undocumented students are not eligible for Federal or State need-based aid.",,"It would be difficult, but it is possible. Having a plan early on is a must.",This varies by student and by year. It would be best to have the student connect with us directly once they apply.,"Any of these documents would be fine to send, but they would not help the student secure aid.",We have groups that would advocate but are not specifically chartered to do so. We would also allow the creation of a specific group if the interest arose.,Regularly. I typically have 1-2 students who self-identify as undocumented each recruitment cycle and several more who I suspect would identify the same way but choose not to disclose.,Double-checking on this with our Chief of Police to be sure,Double-checking on this with our Chief of Police to be sure,Double-checking on this with our Chief of Police to be sure,Students would need to work with faculty on making accommodations.,"Our school does not provide specific confidential legal support services to students, but there are resources in our community like the PBA’s Pro Bono Services here: https://www.pabar.org/site/For-Lawyers/Pro-Bono-Services/Map/Lancaster.",,,,,0
minotstateu,Minot State University,"Undocumented students would be considered ‘International’ as their citizenship country would not be the United States. Our state policy requires financial support to be documented for all international students, but undocumented students do not need to apply for a visa unless they wish to be on the F-1 student visa",International students are not eligible for our automatic incoming awards. They are eligible to apply for other Minot State Scholarships (the application for general Minot State scholarships is due February 15 of each year).,"Our incoming, automatic merit awards are restricted to US and Canadian citizens only, but other merit awards may be available, depending on the academic program and success of our students.",Minot State does not provide any specific aid for undocumented students.,,,Anyone in our admissions/recruiting team is equipped to help any student!,"Minot State is proud to offer one rate of tuition to all students, regardless of residency. We provide a quality education at an affordable price.",It is helpful if we know a students status so we can collect the appropriate information from the student. It will NOT impact the admission decision of the student if they reveal an undocumented status.,"Minot State offers some general scholarships to students, including those who have demonstrated financial need. However, that is determined by the FAFSA, so only students eligible to apply for federal aid can submit that.",,"As the third most affordable institution in the US, we are proud to keep our costs as low as we can. There are not Minot State specific loans/grants.",The general Minot State scholarship application deadline is February 15 of each year. A number of awards are granted to students based on academic program and success at Minot State.,The FAFSA is used to determine financial need.,"There is currently not an active undocumented student club, but there is an active international student club.",There are undocumented student applications each term.,,"We do not have campus police, just campus security officers.",,Minot State offers online degree programs for students around the world to complete.,"No, Minot State does not offer legal support for students.",,,,,0
monmouth,Monmouth University,Domestic,Admission decisions are solely based on the student’s academic profile.,,,,Status has no impact on their admission review.,,Learn about the admission process and what aid you are eligible for.,,New Jersey allows students to apply for state aid.,,,,,,Every cycle we have undocumented students applying.,,,,,,,,,,0
mtholyoke,Mount Holyoke College,"Not so simple. They are read by territory which is assigned by where you go to high school. For aid awarding purposes, regardless of territory, they are treated as international citizens unless they have DACA status.",We are need aware for all applicants.,,,,"Their status would impact the way we are able or unable to award aid, and this may impact the final admission decision as we are need aware.","Not in the office of Admission, no.",Do the very best you can in your high school classes.,,Not without DACA status.,,,,,I am unsure.,Through the Common or Coalition App Sites,Not to my knowledge.,"This is unclear for me. When the federal government gives us directives, we follow.",,,,,,"Mount Holyoke allows women, non-binary and transgender males and females to apply. If you identify as a cis-gender male, you will not be eligible to apply.",,0
nl,National Louis University,,,,,,,,,We also partner with our local community organizations to assure that our students can receive support both in the school and within their community. More information can be found on our website https://nl.edu/student-services/diversity-and-inclusion/immigration-resources/,,,,,"https://www.thedream.us/scholarships/national-scholarship/guidelines/

Our institutional based scholarships, the Eagle Dream along with the others that undocumented students can also apply for, is below:

https://nl.edu/undergraduate-college/programs/first-time-freshman/scholarship/",,,,,,,,,,,Students are able to contact their enrollment specialist or they can reach out to me at jperez43@nl.edu,1
nmsu,New Mexico State University,,,,,,,,,,,,,,,,,,,,,,,,"My name is David Cota, Sr. Admissions Advisor at NMSU. I will be providing you a link to our undocumented students and the types resources (financial, student life, etc…) they get at New Mexico State University.

Here’s information in a PDF on the admissions process:
https://chicano.nmsu.edu/files/2016/08/ISI-Website-Slides-Aug-2016.pdf

Resources for undocumented/daca students:
https://chicano.nmsu.edu/undocumented-daca-students/

All this information could be found at NMSU Chicano Programs website:
https://home-p.nmsu.edu/search_results.html?cx=003174599515884405122%3Aa7gnjdfior4&ie=utf-8&hl=en&q=Chicano+&sa=Go

If you would like to meet with me, go over this information and provide you any updates. Here’s a link to schedule a 1on1 video chat with me. I would be more than happy to assist you.
https://apply.nmsu.edu/portal/1on1videochat",https://apply.nmsu.edu/portal/1on1videochat,0
nyit,New York Institute Technology Nyit,,,,,,,,,"New York Tech welcomes students without regard to their immigration status, and does not request information regarding immigration status from applicants, except for certain health professions programs where government licensure is at issue.",,,,,New York Tech offers institutional scholarships to students without regard to immigration status.,,,,,,,,"New York Tech maintains a strong commitment to the privacy of student records for all students, consistent with state and federal laws. We do not provide information on immigration status to anyone except when required by law.
New York Tech complies with federal law regarding reporting in connection with student F-1 and J-1 visas.
Campus security staff do not inquire about or record immigration status when performing their duties.
In accordance with federal law, the enforcement of immigration law rests with Immigration and Customs Enforcement and Customs and Border Protection. New York Tech will not proactively seek to enforce federal immigration law except when required to do so by law.
New York Tech offers confidential counseling services to all students.",,,,0
newmanu,Newman University,Domestic,Yes,No,,,It allows our staff to recommend scholarships and grants available to undocumented students.,,You are welcome here!  We will do our best to make Newman University a possibility.,Yes,Yes,,"Merit scholarships (Music, Art/Theatre, Academic, Honors, Community Service, Athletics, etc.), DREAM Grant, no loans",Details here: NewmanU.edu/Scholarship,DREAM Grant application – unique form,"Not specifically, but we do have groups that typically welcome a lot of undocumented students, i.e. Asian Student Association, HALO, Multicultural Leadership Organization, Black Student Union, etc.",Frequently,,,,Yes.,No.,,,,"Georgia Drewes, Associate Director of Admissions, DrewesG@NewmanU.edu",1
nsu,Norfolk State University,,,,,,,,,,,,,,Undocumented students are not eligible for aid and there isn't a separate application for them. The options are to pay out of pocket or try to obtain a private loan.,,,,,,,,,,,,0
neiu,Northeastern Illinois University,"For tuition purposes, an undocumented student, then tuition is assessed as a non-resident of Illinois. If the student meets the requirements of the Acevedo Bill (IL Public Act 93-0007) which was passed in 2003, the student may qualify for in-state tuition.",ONLY Illinois students can apply for state aid but are still not eligible to apply for FAFSA.,"95% of our scholarships are open to undocumented students, however, they must be Illinois high school graduates.",,,"It does not affect their application status, but it is used to determine resident/non-resident tuition.",The University does have an office that works with providing students with resources: The Undocumented Student Resources Office but anyone in the Admissions Office can answer students' questions.,,Look at your state's resources for undocumented students. Some states may be more welcoming than others and states may only have resources for the students that have graduated from high schools in those states.,ONLY state aid if the student has graduated from an Illinois high school.,,,"The scholarships all have different requirements. Again, many of these scholarships may require that students be considered Illinois residents.","Private loans, savings, private scholarships, payment plans. Paying for college information for undocumented students: https://www.neiu.edu/university-life/undocumented-student-resources/students/paying-college.",,It’s hard to determine that information since the University receives about 3000-4000 applications a year from different student classifications.,,,,,,,,,,0
nau,Northern Arizona University,,,,,,,,,,,,,,,,,,,,,,,,,The Office of Inclusion can be reached at inclusion@nau.edu or at 928-523-5656,0
niu,Northern Illinois University,,,,,,,,,https://www.niu.edu/undocumented/index.shtml,,,,,,,,,,,,,,,,,0
northwestern,Northwestern University,,,,,,,,,,,,,,,,,,,,,,,,"Northwestern does not offer merit aid to any students. We offer only need-based financial aid. When completing the biographic and citizenship sections of the Common or Coalition App, you should provide all required information truthfully and correctly. Your Northwestern application would be at no disadvantage as a result of your undocumented status. In terms of application requirements, yours would be the same as all U.S. citizen and Permanent Resident undergraduate applicants.

We encourage you to view our Undocumented Student FAQs: https://admissions.northwestern.edu/faqs/undocumented-students/index.html

If you have questions regarding financial aid, please contact the Undergraduate Financial Aid Office at undergradaid@u.northwestern.edu",,0
norwich,Norwich University,Undocumented students are considered domestic.,"Yes, Norwich University is need-blind for all students.",No. All students qualify for our academic scholarships.,No. The academic scholarships awarded are not based on citizenship status.,,,No. Students would work with their assigned Admissions Counselor based on their state of residence.,,,,,,,,"Not for undocumented students, specifically.",Yearly. Typically 5-10 undocumented students each year.,,,,,,,,,,0
oberlin,Oberlin College Arts And Sciences,Undocumented students are considered domestic students at Oberlin.,"As an institution, we are need-aware, but all undocumented students can and are encouraged to apply for need-based institutional financial aid through the CSS Profile","All students, including undocumented students are eligible for our scholarships: music merit scholarships for conservatory applicants based on the audition, academic merit scholarships based on high school grades/academic achievement, and our $10k Commitment Scholarship (https://www.oberlin.edu/admissions-and-aid/financial-aid/applying-aid-prospective-students/oberlins-10000-commitment).",,,Undocumented status does not affect their acceptance into Oberlin. DACA status is not required for admission to Oberlin.,College applicants should be in contact with the counselor for the state the student lives in. conservatory applicants should be in touch with the Conservatory Admissions Office.,"Don't be afraid of reaching out with questions! Oberlin is partnered with Golden Scholars and has many resources on campus for undocumented students, including student organizations and a scholarship fund to help support students on campus. In addition, Oberlin is considered a sanctuary city.","Undocumented students do not need to share their status, though it may be necessary to inform either the College or Conservatory Admissions Office to adjust any requirements typically asked of international students when applying.",Yes! Oberlin is committed to meeting 100% of demonstrated need for admitted students.,,"As mentioned above, admissions scholarships are available for undocumented students who apply, dependent on the division they apply for (College of Arts & Sciences or Conservatory of Music). Virtually all conservatory applicants receive some amount of scholarships and all students who enroll receive the commitment scholarship. We also have funds on campus to support our current students.",,"The CSS Profile is the application to send to Oberlin, our code is 1587.","Yes! Obies for Undocumented Inclusion is a student group that organizes events related to concerns of undocumented students. the El Centro Volunteer Initiative sponsor a variety of events to teach residents English & help prepare for the US Citizenship exam, and the Multicultural Resource Center (MRC) acts as a hub to support undocumented (and other marginalized/BIPOC) students.",This varies year to year.,"Any ICE or CBP officers should first be in contact with our director of Campus Safety if they do not have a warrant. Matters such as this are also handled with our Office of the Vice President, General Counsel and Secretary for legal purposes.","Our campus safety officers are not charged with enforcing federal immigration law and do not make inquiries into individual citizenship status. Formal requests by other law enforcement agencies are first reviewed by the Director of Safety & Security in consultation with the General Counsel and Security to ensure that the privacy interests of campus community members are fully protected. Similarly, the City of Oberlin, per its sanctuary status, will not seek to assist immigration authorities unless required by federal law.",Oberlin must comply with federal requirements associated with managing its authorized international student and scholar programs. it otherwise does not share sensitive information such as immigration status. We do not provide information on immigration status to anyone except when required by law.,"There is no clear answer on this at the time, though this year has introduced virtual/remote learning in new ways for our faculty and students which may be utilized for students who are not on campus for reasons outside of their control. In any regard, our faculty and staff are also extremely willing to work with students to ensure their success.","No. However, the Multicultural Resource Center is the designated office to connect undocumented and DACA students to community and legal resources designed to serve the particular needs of this population. It is in the best interest that members of this vulnerable population be advised by immigration legal experts who can provide attorney-client privileged consultation to meet the unique needs of individual community members. The MRC has compiled a list of legal resources on their website.",,,"The information you are looking for is available on our website (sites listed below).

Admissions & Financial Aid Process: https://www.oberlin.edu/admissions-and-aid/arts-and-sciences/first-year-applicants#app-step-4
Student Life: https://www.oberlin.edu/mrc/student-resources/undocumented-daca-resources",,0
pba,Palm Beach Atlantic University,International,"Undocumented students are not eligible to file the FAFSA, but they are still eligible for merit-based scholarships and any scholarships that PBA offers!","Merit Scholarships for all students range from $8,000 to $18,000 for Florida students and to $20,000 for out of state students","We offer merit aid to all students: undocumented, citizens, and international students",,,Kat_Rumell@pba.edu,"We recommend keeping us informed on your situation, and looking into outside financial aid opportunities to help as well.",,"Yes, but mostly merit based aid",,"We offer merit scholarships and other PBA scholarships which are stackable, and we recommend researching outside scholarships and provide links to those pages.",Variable depending on availability,none,"No, but we do have several clubs to support and encourage diversity such as Black Student Union, Mosaic, & Café con Leche.","Yes, regularly throughout the recruiting cycle.","Yes, as an SEVP certified school that advises F-1 students, we are required by law to permit ICE officers on-campus.","Yes, in regards to F-1 students.",No.,No.,No.,,,,Kat_Rumell@pba.edu,0
pointloma,Point Loma Nazarene University,"Technically classified as international in our system, but not required to submit English proficiency exams like our other international students.","We are ""need aware"" for every student.",None.,We don't - merit aid is open to any student who qualifies.,,It doesn't affect their admissions application at all.,,We've had a number of undocumented students excel here - we hope you consider us!,It's completely up to the student.,Yes,,"Need aid is available, but students can also stack aid—merit awards, need grants, performance awards, loans, etc - are all stackable.",100% depends on the award and the student.,CA resident students can submit Dream Act paperwork to be considered for need aid.   Out of state students can submit the Application for Aid for International Students.,"Not specifically, as we don't require undocumented student to disclose their status.",Annually.,No.,No.,No.,"We haven't had a student in this situation, so we'd have to evaluate!","Confidential support is available to students, but we don't have campus attorneys, so it would be handled on a case by case basis.",,,,"All undocumented students work with our Assistant Director, Nicole Munden.",1
